dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1841-01-01,18.319,3.805,Australian Capital Territory,Australia
1841-02-01,18.703,2.659,Australian Capital Territory,Australia
1841-03-01,15.101,4.099,Australian Capital Territory,Australia
1841-04-01,10.349,1.732,Australian Capital Territory,Australia
1841-05-01,7.641,1.355,Australian Capital Territory,Australia
1841-06-01,5.287,1.417,Australian Capital Territory,Australia
1841-07-01,4.341,2.008,Australian Capital Territory,Australia
1841-08-01,5.82,1.391,Australian Capital Territory,Australia
1841-09-01,8.091,1.639,Australian Capital Territory,Australia
1841-10-01,11.153,1.329,Australian Capital Territory,Australia
1841-11-01,14.006,1.837,Australian Capital Territory,Australia
1841-12-01,16.023,1.517,Australian Capital Territory,Australia
1842-01-01,18.097,1.646,Australian Capital Territory,Australia
1842-02-01,18.515,1.944,Australian Capital Territory,Australia
1842-03-01,16.441,1.816,Australian Capital Territory,Australia
1842-04-01,11.163,2.812,Australian Capital Territory,Australia
1842-05-01,7.502,1.281,Australian Capital Territory,Australia
1842-06-01,4.694,1.368,Australian Capital Territory,Australia
1842-07-01,3.499,1.271,Australian Capital Territory,Australia
1842-08-01,5.362,1.362,Australian Capital Territory,Australia
1842-09-01,8.112,1.591,Australian Capital Territory,Australia
1842-10-01,9.967,1.989,Australian Capital Territory,Australia
1842-11-01,13.969,1.248,Australian Capital Territory,Australia
1842-12-01,16.666,2.256,Australian Capital Territory,Australia
1843-01-01,18.662,1.466,Australian Capital Territory,Australia
1843-02-01,19.081,1.468,Australian Capital Territory,Australia
1843-03-01,15.818,1.927,Australian Capital Territory,Australia
1843-04-01,10.988,1.967,Australian Capital Territory,Australia
1843-05-01,7.444,1.78,Australian Capital Territory,Australia
1843-06-01,5.436,1.771,Australian Capital Territory,Australia
1843-07-01,4.259,1.361,Australian Capital Territory,Australia
1843-08-01,5.521,1.412,Australian Capital Territory,Australia
1843-09-01,7.803,1.263,Australian Capital Territory,Australia
1843-10-01,11.061,1.287,Australian Capital Territory,Australia
1843-11-01,14.596,2.211,Australian Capital Territory,Australia
1843-12-01,17.48,1.921,Australian Capital Territory,Australia
1844-01-01,18.078,1.57,Australian Capital Territory,Australia
1844-02-01,18.307,2.428,Australian Capital Territory,Australia
1844-03-01,15.189,1.98,Australian Capital Territory,Australia
1844-04-01,10.342,2.216,Australian Capital Territory,Australia
1844-05-01,7.474,1.532,Australian Capital Territory,Australia
1844-06-01,4.777,1.291,Australian Capital Territory,Australia
1844-07-01,4.1,1.368,Australian Capital Territory,Australia
1844-08-01,5.036,2.033,Australian Capital Territory,Australia
1844-09-01,7.485,1.26,Australian Capital Territory,Australia
1844-10-01,10.697,1.397,Australian Capital Territory,Australia
1844-11-01,12.708,1.365,Australian Capital Territory,Australia
1844-12-01,15.554,1.682,Australian Capital Territory,Australia
1845-01-01,18.859,1.688,Australian Capital Territory,Australia
1845-02-01,17.401,2.799,Australian Capital Territory,Australia
1845-03-01,15.791,1.624,Australian Capital Territory,Australia
1845-04-01,11.614,1.4,Australian Capital Territory,Australia
1845-05-01,7.304,1.443,Australian Capital Territory,Australia
1845-06-01,4.818,1.399,Australian Capital Territory,Australia
1845-07-01,5,1.41,Australian Capital Territory,Australia
1845-08-01,5.742,1.234,Australian Capital Territory,Australia
1845-09-01,8.501,1.652,Australian Capital Territory,Australia
1845-10-01,10.675,1.771,Australian Capital Territory,Australia
1845-11-01,14.031,1.491,Australian Capital Territory,Australia
1845-12-01,15.987,3.149,Australian Capital Territory,Australia
1846-01-01,19.306,1.949,Australian Capital Territory,Australia
1846-02-01,18.027,1.45,Australian Capital Territory,Australia
1846-03-01,16.514,2.098,Australian Capital Territory,Australia
1846-04-01,10.878,1.46,Australian Capital Territory,Australia
1846-05-01,7.681,1.488,Australian Capital Territory,Australia
1846-06-01,5.725,1.624,Australian Capital Territory,Australia
1846-07-01,4.877,2.143,Australian Capital Territory,Australia
1846-08-01,5.558,2.065,Australian Capital Territory,Australia
1846-09-01,8.053,1.552,Australian Capital Territory,Australia
1846-10-01,10.939,1.623,Australian Capital Territory,Australia
1846-11-01,14.516,2.516,Australian Capital Territory,Australia
1846-12-01,17.743,1.726,Australian Capital Territory,Australia
1847-01-01,18.641,3.001,Australian Capital Territory,Australia
1847-02-01,18.542,1.345,Australian Capital Territory,Australia
1847-03-01,14.822,1.409,Australian Capital Territory,Australia
1847-04-01,11.122,1.593,Australian Capital Territory,Australia
1847-05-01,6.921,1.563,Australian Capital Territory,Australia
1847-06-01,4.549,1.657,Australian Capital Territory,Australia
1847-07-01,4.593,1.436,Australian Capital Territory,Australia
1847-08-01,5.958,1.474,Australian Capital Territory,Australia
1847-09-01,8.477,1.506,Australian Capital Territory,Australia
1847-10-01,10.842,1.27,Australian Capital Territory,Australia
1847-11-01,13.831,1.431,Australian Capital Territory,Australia
1847-12-01,16.364,3.583,Australian Capital Territory,Australia
1848-01-01,16.839,1.839,Australian Capital Territory,Australia
1848-02-01,18.007,2.365,Australian Capital Territory,Australia
1848-03-01,15.717,1.634,Australian Capital Territory,Australia
1848-04-01,12.254,2.138,Australian Capital Territory,Australia
1848-05-01,7.127,1.521,Australian Capital Territory,Australia
1848-06-01,5.074,1.615,Australian Capital Territory,Australia
1848-07-01,4.048,2.278,Australian Capital Territory,Australia
1848-08-01,5.096,1.589,Australian Capital Territory,Australia
1848-09-01,7.075,1.751,Australian Capital Territory,Australia
1848-10-01,10.325,1.885,Australian Capital Territory,Australia
1848-11-01,13.012,1.527,Australian Capital Territory,Australia
1848-12-01,15.199,2.252,Australian Capital Territory,Australia
1849-01-01,17.6,1.789,Australian Capital Territory,Australia
1849-02-01,16.979,2.773,Australian Capital Territory,Australia
1849-03-01,15.101,3.107,Australian Capital Territory,Australia
1849-04-01,9.815,2.223,Australian Capital Territory,Australia
1849-05-01,6.557,1.36,Australian Capital Territory,Australia
1849-06-01,4.721,1.741,Australian Capital Territory,Australia
1849-07-01,4.326,1.462,Australian Capital Territory,Australia
1849-08-01,5.573,1.366,Australian Capital Territory,Australia
1849-09-01,6.811,1.766,Australian Capital Territory,Australia
1849-10-01,10.916,1.708,Australian Capital Territory,Australia
1849-11-01,13.441,2.039,Australian Capital Territory,Australia
1849-12-01,15.159,1.335,Australian Capital Territory,Australia
1850-01-01,16.769,1.539,Australian Capital Territory,Australia
1850-02-01,17.761,2.182,Australian Capital Territory,Australia
1850-03-01,16.021,1.474,Australian Capital Territory,Australia
1850-04-01,10.991,1.546,Australian Capital Territory,Australia
1850-05-01,7.198,1.499,Australian Capital Territory,Australia
1850-06-01,5.305,1.439,Australian Capital Territory,Australia
1850-07-01,4.217,1.608,Australian Capital Territory,Australia
1850-08-01,5.403,1.741,Australian Capital Territory,Australia
1850-09-01,,,Australian Capital Territory,Australia
1850-10-01,10.715,1.671,Australian Capital Territory,Australia
1850-11-01,13.05,1.421,Australian Capital Territory,Australia
1850-12-01,16.025,1.316,Australian Capital Territory,Australia
1851-01-01,18.067,1.389,Australian Capital Territory,Australia
1851-02-01,18.048,1.277,Australian Capital Territory,Australia
1851-03-01,14.745,1.305,Australian Capital Territory,Australia
1851-04-01,11.32,2.097,Australian Capital Territory,Australia
1851-05-01,7.72,1.514,Australian Capital Territory,Australia
1851-06-01,5.592,1.518,Australian Capital Territory,Australia
1851-07-01,4.969,1.399,Australian Capital Territory,Australia
1851-08-01,5.701,1.555,Australian Capital Territory,Australia
1851-09-01,8.087,1.341,Australian Capital Territory,Australia
1851-10-01,10.77,2.382,Australian Capital Territory,Australia
1851-11-01,12.682,1.559,Australian Capital Territory,Australia
1851-12-01,16.533,2.174,Australian Capital Territory,Australia
1852-01-01,17.718,2.91,Australian Capital Territory,Australia
1852-02-01,18.065,1.507,Australian Capital Territory,Australia
1852-03-01,15.157,1.883,Australian Capital Territory,Australia
1852-04-01,11.076,1.601,Australian Capital Territory,Australia
1852-05-01,7.495,1.974,Australian Capital Territory,Australia
1852-06-01,4.921,1.339,Australian Capital Territory,Australia
1852-07-01,4.518,1.461,Australian Capital Territory,Australia
1852-08-01,5.164,1.346,Australian Capital Territory,Australia
1852-09-01,7.957,1.315,Australian Capital Territory,Australia
1852-10-01,10.628,1.859,Australian Capital Territory,Australia
1852-11-01,13.228,1.639,Australian Capital Territory,Australia
1852-12-01,15.519,3.357,Australian Capital Territory,Australia
1853-01-01,16.965,1.478,Australian Capital Territory,Australia
1853-02-01,16.482,1.413,Australian Capital Territory,Australia
1853-03-01,14.342,1.776,Australian Capital Territory,Australia
1853-04-01,10.949,1.394,Australian Capital Territory,Australia
1853-05-01,7.318,1.445,Australian Capital Territory,Australia
1853-06-01,4.51,1.857,Australian Capital Territory,Australia
1853-07-01,4.587,1.253,Australian Capital Territory,Australia
1853-08-01,5.819,1.254,Australian Capital Territory,Australia
1853-09-01,7.322,1.807,Australian Capital Territory,Australia
1853-10-01,10.194,1.691,Australian Capital Territory,Australia
1853-11-01,13.222,1.58,Australian Capital Territory,Australia
1853-12-01,16.453,1.226,Australian Capital Territory,Australia
1854-01-01,17.946,1.255,Australian Capital Territory,Australia
1854-02-01,17.658,1.319,Australian Capital Territory,Australia
1854-03-01,14.731,2.579,Australian Capital Territory,Australia
1854-04-01,11.501,1.304,Australian Capital Territory,Australia
1854-05-01,7.516,1.527,Australian Capital Territory,Australia
1854-06-01,4.609,1.268,Australian Capital Territory,Australia
1854-07-01,4.623,1.465,Australian Capital Territory,Australia
1854-08-01,5.935,1.277,Australian Capital Territory,Australia
1854-09-01,7.206,1.576,Australian Capital Territory,Australia
1854-10-01,11.298,1.981,Australian Capital Territory,Australia
1854-11-01,13.212,1.795,Australian Capital Territory,Australia
1854-12-01,16.359,1.651,Australian Capital Territory,Australia
1855-01-01,,,Australian Capital Territory,Australia
1855-02-01,,,Australian Capital Territory,Australia
1855-03-01,,,Australian Capital Territory,Australia
1855-04-01,,,Australian Capital Territory,Australia
1855-05-01,8.331,1.399,Australian Capital Territory,Australia
1855-06-01,5.238,1.342,Australian Capital Territory,Australia
1855-07-01,4.037,1.287,Australian Capital Territory,Australia
1855-08-01,5.624,1.118,Australian Capital Territory,Australia
1855-09-01,8.445,1.769,Australian Capital Territory,Australia
1855-10-01,11.644,1.941,Australian Capital Territory,Australia
1855-11-01,14.372,2.114,Australian Capital Territory,Australia
1855-12-01,16.162,2.869,Australian Capital Territory,Australia
1856-01-01,18.328,1.325,Australian Capital Territory,Australia
1856-02-01,18.285,2.101,Australian Capital Territory,Australia
1856-03-01,17.671,4.156,Australian Capital Territory,Australia
1856-04-01,12.358,1.897,Australian Capital Territory,Australia
1856-05-01,7.652,1.81,Australian Capital Territory,Australia
1856-06-01,5.481,1.743,Australian Capital Territory,Australia
1856-07-01,3.487,1.184,Australian Capital Territory,Australia
1856-08-01,5.921,1.923,Australian Capital Territory,Australia
1856-09-01,8.562,1.788,Australian Capital Territory,Australia
1856-10-01,10.985,1.719,Australian Capital Territory,Australia
1856-11-01,13.467,1.334,Australian Capital Territory,Australia
1856-12-01,15.396,1.707,Australian Capital Territory,Australia
1857-01-01,17.532,1.562,Australian Capital Territory,Australia
1857-02-01,19.51,3.877,Australian Capital Territory,Australia
1857-03-01,15.466,1.747,Australian Capital Territory,Australia
1857-04-01,12.315,2.608,Australian Capital Territory,Australia
1857-05-01,6.921,1.049,Australian Capital Territory,Australia
1857-06-01,4.965,1.03,Australian Capital Territory,Australia
1857-07-01,4.448,0.98,Australian Capital Territory,Australia
1857-08-01,5.862,1.392,Australian Capital Territory,Australia
1857-09-01,7.944,1.254,Australian Capital Territory,Australia
1857-10-01,10.822,1.411,Australian Capital Territory,Australia
1857-11-01,13.732,1.245,Australian Capital Territory,Australia
1857-12-01,17.704,2.023,Australian Capital Territory,Australia
1858-01-01,20.941,3.059,Australian Capital Territory,Australia
1858-02-01,18.093,1.107,Australian Capital Territory,Australia
1858-03-01,17.041,1.489,Australian Capital Territory,Australia
1858-04-01,11.758,1.647,Australian Capital Territory,Australia
1858-05-01,8.47,1.475,Australian Capital Territory,Australia
1858-06-01,4.923,1.117,Australian Capital Territory,Australia
1858-07-01,3.368,1.286,Australian Capital Territory,Australia
1858-08-01,5.554,1.096,Australian Capital Territory,Australia
1858-09-01,8.079,1.127,Australian Capital Territory,Australia
1858-10-01,11.79,1.082,Australian Capital Territory,Australia
1858-11-01,14.948,1.599,Australian Capital Territory,Australia
1858-12-01,16.286,1.396,Australian Capital Territory,Australia
1859-01-01,17.756,0.457,Australian Capital Territory,Australia
1859-02-01,17.104,0.935,Australian Capital Territory,Australia
1859-03-01,14.967,0.908,Australian Capital Territory,Australia
1859-04-01,10.82,0.813,Australian Capital Territory,Australia
1859-05-01,7.569,0.854,Australian Capital Territory,Australia
1859-06-01,4.563,1.368,Australian Capital Territory,Australia
1859-07-01,3.066,1.118,Australian Capital Territory,Australia
1859-08-01,5.892,0.916,Australian Capital Territory,Australia
1859-09-01,7.425,0.785,Australian Capital Territory,Australia
1859-10-01,11.998,1.014,Australian Capital Territory,Australia
1859-11-01,13.985,1.751,Australian Capital Territory,Australia
1859-12-01,17.076,2.267,Australian Capital Territory,Australia
1860-01-01,18.162,1.749,Australian Capital Territory,Australia
1860-02-01,16.528,1.016,Australian Capital Territory,Australia
1860-03-01,16.077,2.216,Australian Capital Territory,Australia
1860-04-01,12.134,0.774,Australian Capital Territory,Australia
1860-05-01,7.836,1.13,Australian Capital Territory,Australia
1860-06-01,4.999,0.711,Australian Capital Territory,Australia
1860-07-01,4.138,0.639,Australian Capital Territory,Australia
1860-08-01,5.379,1.003,Australian Capital Territory,Australia
1860-09-01,7.993,0.683,Australian Capital Territory,Australia
1860-10-01,10.756,0.59,Australian Capital Territory,Australia
1860-11-01,13.275,1.272,Australian Capital Territory,Australia
1860-12-01,15.832,1.855,Australian Capital Territory,Australia
1861-01-01,17.481,1.615,Australian Capital Territory,Australia
1861-02-01,17.189,1.156,Australian Capital Territory,Australia
1861-03-01,16.937,0.397,Australian Capital Territory,Australia
1861-04-01,12.274,1.098,Australian Capital Territory,Australia
1861-05-01,7.284,1.013,Australian Capital Territory,Australia
1861-06-01,5.642,1.802,Australian Capital Territory,Australia
1861-07-01,3.765,1.266,Australian Capital Territory,Australia
1861-08-01,5.082,0.7,Australian Capital Territory,Australia
1861-09-01,8.081,0.328,Australian Capital Territory,Australia
1861-10-01,12.203,0.388,Australian Capital Territory,Australia
1861-11-01,13.69,1.685,Australian Capital Territory,Australia
1861-12-01,15.954,2.04,Australian Capital Territory,Australia
1862-01-01,17.786,1.268,Australian Capital Territory,Australia
1862-02-01,18.732,1.244,Australian Capital Territory,Australia
1862-03-01,16.572,0.813,Australian Capital Territory,Australia
1862-04-01,10.77,1.096,Australian Capital Territory,Australia
1862-05-01,7.584,1.649,Australian Capital Territory,Australia
1862-06-01,5.121,1.215,Australian Capital Territory,Australia
1862-07-01,4.176,0.864,Australian Capital Territory,Australia
1862-08-01,4.785,1.247,Australian Capital Territory,Australia
1862-09-01,8.754,1.159,Australian Capital Territory,Australia
1862-10-01,11.54,1.373,Australian Capital Territory,Australia
1862-11-01,16.203,1.52,Australian Capital Territory,Australia
1862-12-01,17.161,1.45,Australian Capital Territory,Australia
1863-01-01,19.136,2.411,Australian Capital Territory,Australia
1863-02-01,18.185,2.913,Australian Capital Territory,Australia
1863-03-01,15.963,0.495,Australian Capital Territory,Australia
1863-04-01,11.643,1.402,Australian Capital Territory,Australia
1863-05-01,7.446,1.007,Australian Capital Territory,Australia
1863-06-01,5.511,1.326,Australian Capital Territory,Australia
1863-07-01,4.248,1.12,Australian Capital Territory,Australia
1863-08-01,4.852,1.221,Australian Capital Territory,Australia
1863-09-01,7.196,0.883,Australian Capital Territory,Australia
1863-10-01,10.511,0.802,Australian Capital Territory,Australia
1863-11-01,13.382,0.929,Australian Capital Territory,Australia
1863-12-01,15.265,1.618,Australian Capital Territory,Australia
1864-01-01,17.742,0.97,Australian Capital Territory,Australia
1864-02-01,16.427,1.492,Australian Capital Territory,Australia
1864-03-01,15.081,0.974,Australian Capital Territory,Australia
1864-04-01,12.196,1.168,Australian Capital Territory,Australia
1864-05-01,7.856,0.782,Australian Capital Territory,Australia
1864-06-01,5.062,1.164,Australian Capital Territory,Australia
1864-07-01,4.161,1.391,Australian Capital Territory,Australia
1864-08-01,5.317,1.489,Australian Capital Territory,Australia
1864-09-01,9.106,1.533,Australian Capital Territory,Australia
1864-10-01,10.331,1.24,Australian Capital Territory,Australia
1864-11-01,13.767,1.597,Australian Capital Territory,Australia
1864-12-01,15.553,1.746,Australian Capital Territory,Australia
1865-01-01,16.939,0.618,Australian Capital Territory,Australia
1865-02-01,17.277,1.139,Australian Capital Territory,Australia
1865-03-01,15.442,0.626,Australian Capital Territory,Australia
1865-04-01,12.599,1.136,Australian Capital Territory,Australia
1865-05-01,6.958,1.437,Australian Capital Territory,Australia
1865-06-01,5.057,1.018,Australian Capital Territory,Australia
1865-07-01,3.51,1.125,Australian Capital Territory,Australia
1865-08-01,5.64,0.791,Australian Capital Territory,Australia
1865-09-01,9.043,1.388,Australian Capital Territory,Australia
1865-10-01,11.351,1.249,Australian Capital Territory,Australia
1865-11-01,14.999,1.005,Australian Capital Territory,Australia
1865-12-01,16.039,1.883,Australian Capital Territory,Australia
1866-01-01,18.012,0.573,Australian Capital Territory,Australia
1866-02-01,18.283,1.306,Australian Capital Territory,Australia
1866-03-01,15.359,0.771,Australian Capital Territory,Australia
1866-04-01,12.86,1.06,Australian Capital Territory,Australia
1866-05-01,9.329,1.174,Australian Capital Territory,Australia
1866-06-01,5.814,1.65,Australian Capital Territory,Australia
1866-07-01,3.935,0.984,Australian Capital Territory,Australia
1866-08-01,5.872,1.006,Australian Capital Territory,Australia
1866-09-01,8.449,0.784,Australian Capital Territory,Australia
1866-10-01,11.495,0.927,Australian Capital Territory,Australia
1866-11-01,13.371,0.936,Australian Capital Territory,Australia
1866-12-01,15.766,1.398,Australian Capital Territory,Australia
1867-01-01,17.776,1.3,Australian Capital Territory,Australia
1867-02-01,17.508,0.812,Australian Capital Territory,Australia
1867-03-01,15.383,1.093,Australian Capital Territory,Australia
1867-04-01,12.306,1.063,Australian Capital Territory,Australia
1867-05-01,9.048,0.767,Australian Capital Territory,Australia
1867-06-01,6.594,0.651,Australian Capital Territory,Australia
1867-07-01,5.231,1.069,Australian Capital Territory,Australia
1867-08-01,6.111,1.218,Australian Capital Territory,Australia
1867-09-01,8.575,0.733,Australian Capital Territory,Australia
1867-10-01,12.821,0.908,Australian Capital Territory,Australia
1867-11-01,14.719,2.503,Australian Capital Territory,Australia
1867-12-01,16.458,1.929,Australian Capital Territory,Australia
1868-01-01,17.087,0.672,Australian Capital Territory,Australia
1868-02-01,16.935,1.441,Australian Capital Territory,Australia
1868-03-01,16.342,0.824,Australian Capital Territory,Australia
1868-04-01,11.709,1.217,Australian Capital Territory,Australia
1868-05-01,8.135,1.337,Australian Capital Territory,Australia
1868-06-01,5.726,0.755,Australian Capital Territory,Australia
1868-07-01,4.583,0.723,Australian Capital Territory,Australia
1868-08-01,5.275,1.131,Australian Capital Territory,Australia
1868-09-01,9.136,0.632,Australian Capital Territory,Australia
1868-10-01,12.603,1.037,Australian Capital Territory,Australia
1868-11-01,14.434,1.213,Australian Capital Territory,Australia
1868-12-01,17.086,1.143,Australian Capital Territory,Australia
1869-01-01,18.332,1.534,Australian Capital Territory,Australia
1869-02-01,17.252,1.3,Australian Capital Territory,Australia
1869-03-01,16.334,1.4,Australian Capital Territory,Australia
1869-04-01,11.761,1.522,Australian Capital Territory,Australia
1869-05-01,7.515,0.932,Australian Capital Territory,Australia
1869-06-01,5.724,0.741,Australian Capital Territory,Australia
1869-07-01,4.392,0.739,Australian Capital Territory,Australia
1869-08-01,6.235,2.199,Australian Capital Territory,Australia
1869-09-01,8.118,1.068,Australian Capital Territory,Australia
1869-10-01,10.882,0.713,Australian Capital Territory,Australia
1869-11-01,14.557,0.675,Australian Capital Territory,Australia
1869-12-01,17.072,1.177,Australian Capital Territory,Australia
1870-01-01,18.135,0.751,Australian Capital Territory,Australia
1870-02-01,18.167,1.04,Australian Capital Territory,Australia
1870-03-01,15.405,0.639,Australian Capital Territory,Australia
1870-04-01,12.26,0.984,Australian Capital Territory,Australia
1870-05-01,7.857,0.996,Australian Capital Territory,Australia
1870-06-01,5.619,0.917,Australian Capital Territory,Australia
1870-07-01,4.223,0.911,Australian Capital Territory,Australia
1870-08-01,5.426,0.906,Australian Capital Territory,Australia
1870-09-01,8.407,1.248,Australian Capital Territory,Australia
1870-10-01,12.348,0.957,Australian Capital Territory,Australia
1870-11-01,14.465,1.403,Australian Capital Territory,Australia
1870-12-01,16.303,1.304,Australian Capital Territory,Australia
1871-01-01,18.159,1.264,Australian Capital Territory,Australia
1871-02-01,18.411,1.883,Australian Capital Territory,Australia
1871-03-01,14.218,1.153,Australian Capital Territory,Australia
1871-04-01,11.758,0.807,Australian Capital Territory,Australia
1871-05-01,8.746,0.833,Australian Capital Territory,Australia
1871-06-01,5.356,0.42,Australian Capital Territory,Australia
1871-07-01,4.63,0.479,Australian Capital Territory,Australia
1871-08-01,6.065,0.526,Australian Capital Territory,Australia
1871-09-01,8.509,0.412,Australian Capital Territory,Australia
1871-10-01,10.502,1.154,Australian Capital Territory,Australia
1871-11-01,14.352,1.282,Australian Capital Territory,Australia
1871-12-01,17.606,0.856,Australian Capital Territory,Australia
1872-01-01,19.985,3.419,Australian Capital Territory,Australia
1872-02-01,18.091,1.145,Australian Capital Territory,Australia
1872-03-01,16.003,0.816,Australian Capital Territory,Australia
1872-04-01,10.492,1.059,Australian Capital Territory,Australia
1872-05-01,6.757,0.407,Australian Capital Territory,Australia
1872-06-01,5.621,1.077,Australian Capital Territory,Australia
1872-07-01,4.689,0.692,Australian Capital Territory,Australia
1872-08-01,4.216,1.403,Australian Capital Territory,Australia
1872-09-01,8.517,0.577,Australian Capital Territory,Australia
1872-10-01,11.008,0.596,Australian Capital Territory,Australia
1872-11-01,14.826,1.144,Australian Capital Territory,Australia
1872-12-01,16.099,1.5,Australian Capital Territory,Australia
1873-01-01,16.665,1.213,Australian Capital Territory,Australia
1873-02-01,17.34,1.371,Australian Capital Territory,Australia
1873-03-01,15.016,0.564,Australian Capital Territory,Australia
1873-04-01,11.619,1.522,Australian Capital Territory,Australia
1873-05-01,8.243,0.942,Australian Capital Territory,Australia
1873-06-01,7.178,1.055,Australian Capital Territory,Australia
1873-07-01,3.738,0.473,Australian Capital Territory,Australia
1873-08-01,6.681,0.147,Australian Capital Territory,Australia
1873-09-01,8.658,0.929,Australian Capital Territory,Australia
1873-10-01,11.866,0.579,Australian Capital Territory,Australia
1873-11-01,11.968,0.553,Australian Capital Territory,Australia
1873-12-01,17.643,1.059,Australian Capital Territory,Australia
1874-01-01,18.665,1.115,Australian Capital Territory,Australia
1874-02-01,17.068,0.699,Australian Capital Territory,Australia
1874-03-01,15.299,1.295,Australian Capital Territory,Australia
1874-04-01,12.681,0.279,Australian Capital Territory,Australia
1874-05-01,8.128,0.773,Australian Capital Territory,Australia
1874-06-01,4.696,1.107,Australian Capital Territory,Australia
1874-07-01,4.093,0.322,Australian Capital Territory,Australia
1874-08-01,4.58,1.006,Australian Capital Territory,Australia
1874-09-01,7.443,0.371,Australian Capital Territory,Australia
1874-10-01,12.923,1.309,Australian Capital Territory,Australia
1874-11-01,14.157,0.441,Australian Capital Territory,Australia
1874-12-01,16.478,0.996,Australian Capital Territory,Australia
1875-01-01,19.174,0.839,Australian Capital Territory,Australia
1875-02-01,17.45,1.568,Australian Capital Territory,Australia
1875-03-01,15.961,1.018,Australian Capital Territory,Australia
1875-04-01,12.144,0.699,Australian Capital Territory,Australia
1875-05-01,7.284,0.657,Australian Capital Territory,Australia
1875-06-01,6.106,1.253,Australian Capital Territory,Australia
1875-07-01,4.144,0.967,Australian Capital Territory,Australia
1875-08-01,6.447,0.403,Australian Capital Territory,Australia
1875-09-01,8.058,0.556,Australian Capital Territory,Australia
1875-10-01,11.438,0.736,Australian Capital Territory,Australia
1875-11-01,13.407,1.028,Australian Capital Territory,Australia
1875-12-01,15.413,1.35,Australian Capital Territory,Australia
1876-01-01,18.318,0.775,Australian Capital Territory,Australia
1876-02-01,18.62,1.649,Australian Capital Territory,Australia
1876-03-01,17.596,1.272,Australian Capital Territory,Australia
1876-04-01,11.496,0.999,Australian Capital Territory,Australia
1876-05-01,8.524,0.998,Australian Capital Territory,Australia
1876-06-01,5.346,1.397,Australian Capital Territory,Australia
1876-07-01,4.265,1.212,Australian Capital Territory,Australia
1876-08-01,6.046,1.684,Australian Capital Territory,Australia
1876-09-01,8.949,1.624,Australian Capital Territory,Australia
1876-10-01,11.285,1.037,Australian Capital Territory,Australia
1876-11-01,13.945,0.97,Australian Capital Territory,Australia
1876-12-01,17.083,1.258,Australian Capital Territory,Australia
1877-01-01,18.113,1.164,Australian Capital Territory,Australia
1877-02-01,18.472,1.524,Australian Capital Territory,Australia
1877-03-01,15.954,0.836,Australian Capital Territory,Australia
1877-04-01,11.722,1.236,Australian Capital Territory,Australia
1877-05-01,7.831,0.891,Australian Capital Territory,Australia
1877-06-01,4.65,1.785,Australian Capital Territory,Australia
1877-07-01,4.709,0.321,Australian Capital Territory,Australia
1877-08-01,5.51,0.782,Australian Capital Territory,Australia
1877-09-01,8.268,0.206,Australian Capital Territory,Australia
1877-10-01,10.859,0.798,Australian Capital Territory,Australia
1877-11-01,14.661,1.286,Australian Capital Territory,Australia
1877-12-01,17.206,1.623,Australian Capital Territory,Australia
1878-01-01,19.307,2.038,Australian Capital Territory,Australia
1878-02-01,17.944,1.135,Australian Capital Territory,Australia
1878-03-01,17.393,0.779,Australian Capital Territory,Australia
1878-04-01,12.783,1.11,Australian Capital Territory,Australia
1878-05-01,7.462,0.981,Australian Capital Territory,Australia
1878-06-01,3.644,1.23,Australian Capital Territory,Australia
1878-07-01,4.551,0.637,Australian Capital Territory,Australia
1878-08-01,6.068,0.852,Australian Capital Territory,Australia
1878-09-01,9.559,0.475,Australian Capital Territory,Australia
1878-10-01,11.968,0.58,Australian Capital Territory,Australia
1878-11-01,15.143,1.242,Australian Capital Territory,Australia
1878-12-01,16.282,1.646,Australian Capital Territory,Australia
1879-01-01,18.373,0.879,Australian Capital Territory,Australia
1879-02-01,17.449,0.518,Australian Capital Territory,Australia
1879-03-01,15.436,0.282,Australian Capital Territory,Australia
1879-04-01,11.743,1.583,Australian Capital Territory,Australia
1879-05-01,7.164,1.057,Australian Capital Territory,Australia
1879-06-01,4.348,0.596,Australian Capital Territory,Australia
1879-07-01,3.313,0.86,Australian Capital Territory,Australia
1879-08-01,5.704,0.891,Australian Capital Territory,Australia
1879-09-01,8.957,0.868,Australian Capital Territory,Australia
1879-10-01,11.251,0.505,Australian Capital Territory,Australia
1879-11-01,13.184,0.442,Australian Capital Territory,Australia
1879-12-01,15.763,1.151,Australian Capital Territory,Australia
1880-01-01,18.333,0.801,Australian Capital Territory,Australia
1880-02-01,18.298,0.491,Australian Capital Territory,Australia
1880-03-01,16.41,0.946,Australian Capital Territory,Australia
1880-04-01,12.576,0.819,Australian Capital Territory,Australia
1880-05-01,7.719,0.621,Australian Capital Territory,Australia
1880-06-01,4.687,0.407,Australian Capital Territory,Australia
1880-07-01,3.54,1.094,Australian Capital Territory,Australia
1880-08-01,6.527,0.494,Australian Capital Territory,Australia
1880-09-01,9.109,1.252,Australian Capital Territory,Australia
1880-10-01,10.356,0.784,Australian Capital Territory,Australia
1880-11-01,14.1,1.402,Australian Capital Territory,Australia
1880-12-01,16.458,1.252,Australian Capital Territory,Australia
1881-01-01,17.854,0.458,Australian Capital Territory,Australia
1881-02-01,17.993,0.71,Australian Capital Territory,Australia
